Account Number	Un-paid Data	Paid_date	 Amount 	 Number 
123	2003-01-01	2023-03-31	9.737	1
123	2004-01-01	2023-03-31	59.887	2
123	2005-01-01	2023-03-31	245.86	3
123	2006-01-01	2023-03-31	683.372	4
123	2007-01-01	2023-03-31	584.553	5
123	2008-01-01	2023-03-31	710.98	6
123	2009-01-01	2023-03-31	776.763	7
123	2010-01-01	2023-03-31	747.079	8
123	2011-01-01	2023-03-31	646.35	9
123	2012-01-01	2023-03-31	661.823	10
123	2013-01-01	2023-03-31	620.438	11
123	2014-01-01	2023-03-31	565.795	12
123	2015-01-01	2023-03-31	507.982	13
123	2016-01-01	2023-03-31	463.162	14
123	2017-01-01	2023-03-31	436.866	15
123	2018-01-01	2023-03-31	445.292	16
123	2019-01-01	2023-03-31	401.133	17
123	2020-01-01	2023-03-31	307.872	18
456	2003-01-01	2023-03-31	42.52375	19
456	2004-01-01	2023-03-31	27.30375	20
456	2005-01-01	2023-03-31	63.20875	21
456	2006-01-01	2023-03-31	79.66125	22
456	2007-01-01	2023-03-31	67.49875	23
456	2008-01-01	2023-03-31	67.49875	24
456	2009-01-01	2023-03-31	72.40125	25
456	2010-01-01	2023-03-31	86.22125	26
456	2011-01-01	2023-03-31	95.2425	27
456	2012-01-01	2023-03-31	96.63875	28
456	2013-01-01	2023-03-31	97.09875	29
456	2014-01-01	2023-03-31	97.09875	30
456	2015-01-01	2023-03-31	16.9925	31
456	2016-01-01	2023-03-31	9.71	32
456	2017-01-01	2023-03-31	9.71	33
456	2018-01-01	2023-03-31	9.71	34
456	2019-01-01	2023-03-31	9.71	35
456	2020-01-01	2023-03-31	9.71	36
456	2021-01-01	2023-03-31	 1.62 	37
